#Name	Brake.Hyd.Sys.pMC	Car.Distance	Car.Fr1.rx	Car.Fr1.ry	Car.Fr1.rz	Car.Fr1.tx	Car.Fr1.ty	Car.Fr1.tz	Car.Gen.ax_1	Car.Gen.ay_1	Car.Gen.vx_1	Car.Pitch	Car.Roll	Car.SideSlipAngle	Car.Yaw	Car.YawRate	Car.ax	Car.ay	Car.tx	Car.ty	Car.v	Car.vFL	Car.vFR	Car.vRL	Car.vRR	DM.Brake	DM.Clutch	DM.Gas	DM.GearNo	DM.Long.StepDist	DM.ManNo	DM.Steer.Ang	DM.Steer.Trq	Driver.Brake	Driver.Gas	Driver.Steer.Ang	PT.Engine.rotv	PwrD.Tire.CambDeflFL	PwrD.Tire.CambDeflFR	PwrD.Tire.LatSlipFL	PwrD.Tire.LatSlipFR	PwrD.Tire.LongSlipFL	PwrD.Tire.LongSlipFR	PwrD.Tire.RollResistFL	PwrD.Tire.RollResistFR	PwrD.Tire.ToeSlipFL	PwrD.Tire.ToeSlipFR	PwrD.Tire.TotalFL	PwrD.Tire.TotalFR	PwrL.Aero	PwrL.Brake	PwrL.PT	PwrL.Tire	PwrL.Total	PwrS.Aero	PwrS.Brake	PwrS.PT	PwrS.Tire	PwrS.Total	Steer.WhlAng	Time	Vhcl.Fr1.x	Vhcl.Fr1.y	Vhcl.v
#Unit	bar	m	rad	rad	rad	m	m	m	m/s^2	m/s^2	m/s	rad	rad	rad	rad	rad/s	m/s^2	m/s^2	m	m	m/s	m/s	m/s	m/s	m/s	-	-	-	-	m	-	rad	Nm	-	-	rad	rad/s	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	rad	s	m	m	m/s
#nStates	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	                 0	                 0	    -2.2811433e-08	     -0.0034166538	      -0.077848494	         -22.57574	        -2.1765654	      -0.041600611	       0.014649852	    -1.4401818e-08	                 0	     -0.0034166538	    -2.2811433e-08	                 0	      -0.077848494	    -4.3991614e-11	        0.01524827	    -1.4611789e-08	        -21.882265	        -2.2306607	                 0	             2e-06	             2e-06	             2e-06	             2e-06	                 0	                 0	                 0	                 0	                 0	               -99	                 0	                 0	                 0	                 0	                 0	                 0	                -0	                 0	                -0	                -0	     5.5349362e-09	     5.5349388e-09	     6.9279068e-12	     6.9279091e-12	                -0	                 0	     5.5418641e-09	     5.5418667e-09	                 0	     1.8753077e-24	        0.36451009	     5.4710776e-08	        0.36451015	                 0	                 0	        0.82016958	                 0	        0.82016958	                 0	                 0	         -22.57574	        -2.1765654	                 0
	                 0	       0.033379511	    -6.7987279e-07	     -0.0094991112	      -0.077844957	         -22.54145	        -2.1792424	      -0.050209553	          6.402081	    -8.3108129e-06	        0.46848206	     -0.0094991112	    -6.7987279e-07	                 0	      -0.077844957	    -1.7413277e-07	         6.3998682	    -1.4606543e-05	        -21.849549	        -2.2332122	        0.46894135	         7.8976047	         7.8978833	        0.48442673	         0.4844307	                 0	                 0	       0.051006591	                 0	       0.032910569	               -99	     -0.0003888413	     0.00050594704	                 0	       0.051006591	     -0.0003888413	                 0	                -0	                -0	      0.0032228119	      0.0034070535	         1173.8614	          1173.008	         92.893401	         92.824107	     2.9771512e-06	     2.9951233e-06	         1266.5463	         1265.6242	       0.061315459	         7.4945395	         1245.2133	         2736.1339	         3993.9265	                 0	                 0	        -4967.6461	                 0	        -3891.1636	     -0.0003888413	               0.2	         -22.54145	        -2.1792424	        0.46894135
	                 0	        0.20627469	    -1.3698323e-05	      -0.009184993	      -0.077853975	        -22.368364	        -2.1927413	      -0.048731074	         4.8500134	    -0.00029148081	         1.2547145	      -0.009184993	    -1.3698323e-05	    -1.8898379e-05	      -0.077853975	    -0.00017218247	         4.8504901	    -0.00024783471	        -21.677189	        -2.2466586	         1.2545994	            17.185	         17.197621	         1.2724868	         1.2724868	                 0	                 0	       0.063713831	                 0	        0.20502009	               -99	      -0.013363076	       0.015382717	                 0	       0.063713831	      -0.013363076	                 0	                 0	                 0	     0.00021916974	      0.0017434913	          3688.968	         3626.3723	         299.76069	         294.49754	     2.4144393e-06	     6.1061871e-06	         3989.1505	         3921.2859	         1.2814772	                 0	         2903.2035	         8350.0833	         11256.098	                 0	                 0	        -13438.133	                 0	        -11280.783	      -0.013363076	               0.4	        -22.368364	        -2.1927413	         1.2545994
	                 0	        0.53039583	    -0.00040689817	     -0.0063012913	       -0.07821193	        -22.045036	        -2.2178977	      -0.045504872	         3.1450265	      -0.029301663	         1.9699587	     -0.0063012913	    -0.00040689817	    -0.00064810334	       -0.07821193	      -0.005191259	         3.1451737	      -0.027014177	        -21.354061	         -2.271977	         1.9699752	         22.198949	         22.584824	         1.9774064	         1.9774064	                 0	                 0	       0.049379091	                 0	        0.52842586	               -99	       -0.31565342	        0.28242668	                 0	       0.049379091	       -0.31565342	                 0	                 0	                -0	        0.92297815	        0.70028845	         7070.0492	         5520.3376	         588.02948	          454.5484	     0.00019625142	    -9.5616242e-06	         7658.9633	         5975.5287	         4.9234579	     0.00017727473	         3492.4837	         14265.827	         17763.273	                 0	                 0	        -19984.408	                 0	        -17775.284	       -0.31565342	               0.6	        -22.045036	        -2.2178977	         1.9699752
	                 0	        0.99174343	    -0.00065352556	     -0.0058887053	      -0.079545331	        -21.584504	        -2.2539578	      -0.045199766	         3.7059955	      -0.031752709	         2.6385575	     -0.0058887053	    -0.00065352556	     -0.0014486351	      -0.079545331	     -0.0073299354	         3.7061174	      -0.031382757	        -20.894191	        -2.3088652	         2.6385245	         24.682068	          24.69614	         2.6497856	         2.6497856	                 0	                 0	       0.060782741	                 0	        0.98910491	               -99	       -0.52812488	       -0.10963861	                 0	       0.060782741	       -0.52812488	                 0	                -0	                 0	         3.4911644	         3.1739293	          8018.321	         7558.6641	         686.41903	         639.82215	    -1.2172141e-05	     0.00025603514	         8708.4913	         8202.1465	         11.854338	                 0	         3177.8471	         17760.373	         20950.427	                 0	                 0	        -24434.837	                 0	        -20955.907	       -0.52812488	               0.8	        -21.584504	        -2.2539578	         2.6385245
	                 0	         1.5890077	    -0.00077739884	     -0.0048436088	      -0.081630142	        -20.988637	        -2.3015409	      -0.043737819	         3.3036576	      -0.055508911	         3.3294992	     -0.0048436088	    -0.00077739884	     -0.0016794143	      -0.081630142	      -0.013137424	         3.3035694	      -0.054470085	        -20.298937	        -2.3578227	         3.3295558	         24.685456	         24.698314	         3.3415355	         3.3415355	                 0	                 0	       0.053431572	                 0	         1.5856781	               -99	       -0.69091162	      -0.083774684	                 0	       0.053431572	       -0.69091162	                 0	                -0	                -0	         7.8302866	         6.8267254	         8057.7624	         7272.6906	         717.96579	         635.98262	    -0.00015020104	     0.00025870297	         8783.6272	          7915.559	         23.840226	      1.883814e-10	         3182.2822	         17749.608	         20955.739	                 0	                 0	        -24872.956	                 0	        -20955.927	       -0.69091162	                 1	        -20.988637	        -2.3015409	         3.3295558
	                 0	         2.3231958	    -0.00093751028	     -0.0052732932	      -0.084815945	        -20.256171	        -2.3617743	      -0.044580442	         3.1251967	      -0.084424415	         4.0037867	     -0.0052732932	    -0.00093751028	     -0.0019298357	      -0.084815945	      -0.018606012	          3.124932	      -0.083345303	        -19.567401	         -2.420159	           4.00386	          24.68455	         24.697096	         4.0141748	         4.0141748	                 0	                 0	       0.047380243	                 0	          2.319192	               -99	       -0.83049141	       -0.12779322	                 0	       0.047380243	       -0.83049141	                 0	                -0	                -0	         13.642242	         12.084816	         7835.6839	         7076.6511	         721.90845	         639.12598	    -0.00030471846	     0.00044379756	         8571.1404	         7727.7595	         41.430193	     3.2592837e-12	         3195.2002	          17574.98	         20811.628	                 0	                 0	        -25277.817	                 0	        -20815.986	       -0.83049141	               1.2	        -20.256171	        -2.3617743	           4.00386
	                 0	         3.1918905	    -0.00091724492	     -0.0051740734	      -0.088875225	        -19.389997	        -2.4360643	      -0.044395437	         2.9476011	       -0.10294324	         4.6832992	     -0.0051740734	    -0.00091724492	     -0.0018768521	      -0.088875225	      -0.021546043	         2.9472145	       -0.10280802	        -18.702129	        -2.4971882	         4.6833656	         24.686642	         24.694328	         4.6940119	         4.6940119	                 0	                 0	       0.044691045	                 0	         3.1872071	               -99	       -0.84671969	        -0.1782822	                 0	       0.044691045	       -0.84671969	                 0	                 0	                 0	         16.376103	         15.141101	         7461.5094	         7008.7295	         708.99427	         656.67809	    -0.00043744621	     0.00059059882	         8186.8594	         7680.5055	         66.401094	                 0	         3221.9754	         17347.851	         20636.239	                 0	                 0	        -25564.214	                 0	        -20639.902	       -0.84671969	               1.4	        -19.389997	        -2.4360643	         4.6833656
	                 0	         4.1974255	    -0.00072475172	     -0.0052558202	      -0.093124971	        -18.387822	        -2.5263341	      -0.044658173	         3.8888912	       -0.09586634	         5.3669958	     -0.0052558202	    -0.00072475172	     -0.0014788471	      -0.093124971	      -0.020030303	         3.8893359	      -0.096717124	        -17.700919	        -2.5903505	         5.3670861	         24.689195	         24.690629	         5.3939675	         5.3939675	                 0	                 0	       0.065566463	                 0	         4.1920584	               -99	       -0.70235953	       -0.18767441	                 0	       0.065566463	       -0.70235953	                 0	                 0	                 0	         12.818085	         12.304367	         7086.5779	         6993.8184	         693.70808	         682.25532	    -0.00041468916	     0.00054045321	         7793.1928	         7688.4619	         99.805949	     1.0545901e-16	         3381.1907	         17228.302	         20709.315	                 0	                 0	        -28131.685	                 0	        -20708.686	       -0.70235953	               1.6	        -18.387822	        -2.5263341	         5.3670861
	                 0	         5.3398217	    -0.00034400873	     -0.0052825845	      -0.096473935	        -17.249789	        -2.6336803	      -0.044842798	          3.749689	      -0.052641717	         6.0524987	     -0.0052825845	    -0.00034400873	    -0.00082535143	      -0.096473935	      -0.012373965	         3.7500619	      -0.054812376	        -16.563798	        -2.7000004	         6.0525871	         24.691903	         24.685226	         6.0788431	         6.0788431	                 0	                 0	       0.060218773	                 0	         5.3337691	               -99	       -0.39507396	       -0.16704214	                 0	       0.060218773	       -0.39507396	                 0	                 0	                 0	         4.6452124	         4.4815946	         6673.9601	         7027.4277	         672.12082	         715.12157	    -0.00022320603	     0.00028703853	         7350.7375	         7747.1004	         143.23725	                 0	          3399.966	         17061.913	         20605.132	                 0	                 0	        -28685.241	                 0	        -20609.377	       -0.39507396	               1.8	        -17.249789	        -2.6336803	         6.0525871
