length,radius
22.5552,0
8.189976,7.872984
15.873984,0
16.203168,14.895576
18.321528,0
8.759952,11.15568
21.35124,0
10.094976,19.101816
20.494752,0
10.762488,62.60592
74.663808,0
14.694408,38.31336
23.929848,0
13.316712,14.057376
41.221152,0
13.62456,13.173456
40.312848,0
15.736824,20.144232
17.681448,28.440888
12.90828,20.759928
16.959072,24.006048
3.968496,13.021056
7.415784,0
22.049232,17.955768
11.768328,11.478768
25.28316,0
77.245464,0
6.958584,6.498336
13.99032,0
8.144256,7.303008
27.63012,0
14.64564,6.382512
14.398752,0
3.74904,5.004816
10.902696,0
4.636008,3.294888
13.252704,0
23.009352,0
52.71526,44.994576
6.839712,7.857744
19.525488,0
8.302752,10.116312
11.085576,28.123896
32.333184,0
6.345936,10.674096
59.387232,0
7.004304,10.314432
9.649968,8.32104
4.590288,14.987016
7.394448,14.106144
14.438376,24.600408
5.614416,19.69008
38.956488,0
15.7734,10.963656
14.197584,10.311384
9.735312,0
15.770352,14.557248
12.377928,10.037064
39.495984,0
8.85444,15.791688
13.95984,9.713976
11.972544,7.226808
9.131808,6.242304
8.948928,0
10.16508,9.229344
16.696944,0
7.491984,6.745224
16.44396,0
7.964424,6.163056
13.225272,0
7.14756,5.916168
9.963912,0
16.764,7.946136
