charge,volts
4627.54,2.5
4625.92,2.505
4624.54,2.51
4622.87,2.515
4621.72,2.52
4619.81,2.525
4618.07,2.53
4617.07,2.535
4615.09,2.54
4613.42,2.545
4611.82,2.55
4609.86,2.555
4607.96,2.56
4605.25,2.565
4603.26,2.57
4602.59,2.575
4600.89,2.58
4598.53,2.585
4596.67,2.59
4595.12,2.595
4594.24,2.6
4592.32,2.605
4590.77,2.61
4587.59,2.615
4585.82,2.62
4584.2,2.625
4582.35,2.63
4581.52,2.635
4579.47,2.64
4578.09,2.645
4576.29,2.65
4575.26,2.655
4573.49,2.66
4571.63,2.665
4569.04,2.67
4566.68,2.675
4564.69,2.68
4562.33,2.685
4559.81,2.69
4557.66,2.695
4554.64,2.7
4552.49,2.705
4549.27,2.71
4548.14,2.715
4544.93,2.72
4542.8,2.725
4540.59,2.73
4538.9,2.735
4536.47,2.74
4534.02,2.745
4531.63,2.75
4528.95,2.755
4526.18,2.76
4524.42,2.765
4521.84,2.77
4517.77,2.775
4514.97,2.78
4512.0,2.785
4507.87,2.79
4505.07,2.795
4502.77,2.8
4499.3,2.805
4495.07,2.81
4491.43,2.815
4487.02,2.82
4484.23,2.825
4479.72,2.83
4476.8,2.835
4474.06,2.84
4471.92,2.845
4468.68,2.85
4463.54,2.855
4460.4,2.86
4456.37,2.865
4451.16,2.87
4447.1,2.875
4442.15,2.88
4438.49,2.885
4434.88,2.89
4433.17,2.895
4428.66,2.9
4425.35,2.905
4420.02,2.91
4415.89,2.915
4410.34,2.92
4404.8,2.925
4400.44,2.93
4394.9,2.935
4389.0,2.94
4383.45,2.945
4377.3,2.95
4372.22,2.955
4369.26,2.96
4366.32,2.965
4360.4,2.97
4354.34,2.975
4349.17,2.98
4342.36,2.985
4335.8,2.99
4332.84,2.995
4326.94,3.0
4319.25,3.005
4314.74,3.01
4306.69,3.015
4300.11,3.02
4293.77,3.025
4287.18,3.03
4279.64,3.035
4269.74,3.04
4263.75,3.045
4257.63,3.05
4252.46,3.055
4244.99,3.06
4237.17,3.065
4229.24,3.07
4221.43,3.075
4215.22,3.08
4206.2,3.085
4200.74,3.09
4190.76,3.095
4182.05,3.1
4168.75,3.105
4160.68,3.11
4157.14,3.115
4148.79,3.12
4139.86,3.125
4126.85,3.13
4121.08,3.135
4111.93,3.14
4102.47,3.145
4092.19,3.15
4082.73,3.155
4073.28,3.16
4066.18,3.165
4056.72,3.17
4049.31,3.175
4040.02,3.18
4031.06,3.185
4021.25,3.19
4012.52,3.195
4004.7,3.2
3995.53,3.205
3984.59,3.21
3977.14,3.215
3967.75,3.22
3955.26,3.225
3948.99,3.23
3944.32,3.235
3934.29,3.24
3925.43,3.245
3914.93,3.25
3906.42,3.255
3899.19,3.26
3890.84,3.265
3880.72,3.27
3863.73,3.275
3853.01,3.28
3843.41,3.285
3834.77,3.29
3825.0,3.295
3813.2,3.3
3800.69,3.305
3791.7,3.31
3781.13,3.315
3767.74,3.32
3755.12,3.325
3742.17,3.33
3734.3,3.335
3722.77,3.34
3710.72,3.345
3698.45,3.35
3684.64,3.355
3670.17,3.36
3655.25,3.365
3641.88,3.37
3633.24,3.375
3618.45,3.38
3608.95,3.385
3593.94,3.39
3572.7,3.395
3553.74,3.4
3538.82,3.405
3525.61,3.41
3513.72,3.415
3500.56,3.42
3485.51,3.425
3471.01,3.43
3460.58,3.435
3445.57,3.44
3431.73,3.445
3417.37,3.45
3394.98,3.455
3374.76,3.46
3356.35,3.465
3337.21,3.47
3305.94,3.475
3276.68,3.48
3249.46,3.485
3206.92,3.49
3173.72,3.495
3157.99,3.5
3128.49,3.505
3107.51,3.51
3088.68,3.515
3073.79,3.52
3059.66,3.525
3041.47,3.53
3019.46,3.535
3001.45,3.54
2981.72,3.545
2962.89,3.55
2942.42,3.555
2929.78,3.56
2907.75,3.565
2886.4,3.57
2867.57,3.575
2846.13,3.58
2823.46,3.585
2800.63,3.59
2780.89,3.595
2758.59,3.6
2736.76,3.605
2719.79,3.61
2697.4,3.615
2673.67,3.62
2651.65,3.625
2631.19,3.63
2601.09,3.635
2583.81,3.64
2564.08,3.645
2534.88,3.65
2517.89,3.655
2494.68,3.66
2464.21,3.665
2447.3,3.67
2425.29,3.675
2396.08,3.68
2379.55,3.685
2357.53,3.69
2335.24,3.695
2319.79,3.7
2284.45,3.705
2269.25,3.71
2245.64,3.715
2219.57,3.72
2204.49,3.725
2182.68,3.73
2152.23,3.735
2128.34,3.74
2103.06,3.745
2081.86,3.75
2052.75,3.755
2030.65,3.76
2009.46,3.765
1987.45,3.77
1956.71,3.775
1920.29,3.78
1895.96,3.785
1869.63,3.79
1849.59,3.795
1825.16,3.8
1801.06,3.805
1769.25,3.81
1728.15,3.815
1700.51,3.82
1676.13,3.825
1642.28,3.83
1616.11,3.835
1586.92,3.84
1560.0,3.845
1532.11,3.85
1503.54,3.855
1474.7,3.86
1443.06,3.865
